amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,spender_committee_designation,spender_committee_org_type,spender_committee_type,sub_id,transaction_id,two_year_transaction_period,unused_recipient_committee_id
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': 'TECHNOLOGY NETWORK', 'candidate_ids': [], 'city': 'PALO ALTO', 'committee_id': 'C00328369', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2006, 'cycles': [1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1997-07-08', 'first_file_date': '1997-07-08', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-09-05', 'last_file_date': '2023-09-05', 'name': 'TECHNOLOGY NETWORK (TECHNET) FEDERAL POLITICAL ACTION COMMITTEE', 'organization_type': 'T', 'organization_type_full': 'Trade Association', 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '2600 EAST BAYSHORE ROAD 1ST FLOOR', 'street_2': None, 'treasurer_name': 'KIRK ALAN PESSNER', 'zip': '94303'}",C00328369,,,,,,,1.31,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,193717,F3X,25971606103,21B,Other Federal Operating Expenditures,4121620051062565381,2017-06-01T16:18:11.595379,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?25971606103,PALO ALTO,,,UNITEMIZED DISBURSEMENTS,CA,94303,,M12,2005,SB,ITEMIZED DISBURSEMENTS,,U,T,Q,4121620051062592842,B21(B)11/30/2005,2006,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': 'NORCAL MUTUAL INSURANCE COMPANY', 'candidate_ids': [], 'city': 'BURLINGAME', 'committee_id': 'C00398248', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2006, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2004-03-26', 'first_file_date': '2004-03-26', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-03-09', 'last_file_date': '2023-07-28', 'name': 'MICRA FEDERAL PAC OF NORCAL MUTUAL INSURANCE COMPANY; THE', 'organization_type': 'C', 'organization_type_full': 'Corporation', 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '20 PARK ROAD SUITE E', 'street_2': None, 'treasurer_name': 'MILLER, RUSSELL', 'zip': '94010'}",C00398248,,,,,,,5.0,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,193714,F3X,25971606060,21B,Other Federal Operating Expenditures,4121620051062565378,2017-06-01T16:18:11.595379,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?25971606060,BURLINGAME,,,UNITEMIZED DISBURSEMENTS,CA,94010,,M12,2005,SB,ITEMIZED DISBURSEMENTS,,U,C,Q,4121620051062592830,B21(B)11/30/2005,2006,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'Burlingame', 'committee_id': 'C00371633', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2006, 'cycles': [2002, 2004, 2006, 2008, 2010], 'cycles_has_activity': [2002, 2004, 2006, 2008, 2010], 'cycles_has_financial': [2002, 2004, 2006, 2008, 2010], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2001-12-20', 'first_file_date': '2001-12-20', 'is_active': True, 'last_cycle_has_activity': 2010, 'last_cycle_has_financial': 2010, 'last_f1_date': '2009-03-29', 'last_file_date': '2009-07-29', 'name': 'DEMOCRATS FOR THE FUTURE', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '20 Park Road', 'street_2': 'Suite E', 'treasurer_name': 'Miller, Russell H.', 'zip': '94010'}",C00371633,,,,,,,10.43,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,193713,F3X,25971606054,21B,Other Federal Operating Expenditures,4121620051062565377,2017-06-01T16:18:11.595379,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?25971606054,BURLINGAME,,,UNITEMIZED DISBURSEMENTS,CA,94010,,M12,2005,SB,ITEMIZED DISBURSEMENTS,,U,,Q,4121620051062592829,B21(B)11/30/2005,2006,
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': ['H2CA26026'], 'city': 'Los Angeles', 'committee_id': 'C00147686', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1981-12-04', 'first_file_date': '1981-12-04', 'is_active': True, 'last_cycle_has_activity': 2016, 'last_cycle_has_financial': 2016, 'last_f1_date': '2012-02-01', 'last_file_date': '2016-02-24', 'name': 'BERMAN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': None, 'treasurer_name': 'Corwin, Bruce', 'zip': '90048'}",C00147686,,,,,,,550.0,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,156376,F3,24981774743,21,Other Disbursements,4121020041046458461,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981774743,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90048,,Q3,2004,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121520041046808346,B2109/30/2004,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': ['H2CA26026'], 'city': 'Los Angeles', 'committee_id': 'C00147686', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1981-12-04', 'first_file_date': '1981-12-04', 'is_active': True, 'last_cycle_has_activity': 2016, 'last_cycle_has_financial': 2016, 'last_f1_date': '2012-02-01', 'last_file_date': '2016-02-24', 'name': 'BERMAN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': None, 'treasurer_name': 'Corwin, Bruce', 'zip': '90048'}",C00147686,,,,,,,558.73,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,156376,F3,24981774728,17,Operating Expenditures,4121020041046458461,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981774728,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90048,,Q3,2004,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121520041046808301,B1709/30/2004,2004,
C,CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': ['H2CA26026'], 'city': 'Los Angeles', 'committee_id': 'C00147686', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1981-12-04', 'first_file_date': '1981-12-04', 'is_active': True, 'last_cycle_has_activity': 2016, 'last_cycle_has_financial': 2016, 'last_f1_date': '2012-02-01', 'last_file_date': '2016-02-24', 'name': 'BERMAN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': None, 'treasurer_name': 'Corwin, Bruce', 'zip': '90048'}",C00147686,,,,,,,936.0,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,156375,F3,24981774693,21,Other Disbursements,4121020041046458460,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981774693,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90048,,Q2,2004,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121520041046808249,B2106/30/2004,2004,
C,CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': ['H2CA26026'], 'city': 'Los Angeles', 'committee_id': 'C00147686', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1981-12-04', 'first_file_date': '1981-12-04', 'is_active': True, 'last_cycle_has_activity': 2016, 'last_cycle_has_financial': 2016, 'last_f1_date': '2012-02-01', 'last_file_date': '2016-02-24', 'name': 'BERMAN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': None, 'treasurer_name': 'Corwin, Bruce', 'zip': '90048'}",C00147686,,,,,,,70.88,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,156375,F3,24981774683,17,Operating Expenditures,4121020041046458460,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981774683,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90048,,Q2,2004,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121520041046808221,B1706/30/2004,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': ['H6CA24113'], 'city': 'LOS ANGELES', 'committee_id': 'C00308742', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1995-11-16', 'first_file_date': '1995-11-16', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-03-14', 'last_file_date': '2023-10-15', 'name': 'SHERMAN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '555 SOUTH FLOWER STREET SUITE 4510', 'street_2': None, 'treasurer_name': 'Gould, David L.', 'zip': '90071'}",C00308742,,,,,,,100.0,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,156168,F3,24981750667,21,Other Disbursements,4120720041046291516,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981750667,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90071,,12G,2004,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121520041046807469,B2110/13/2004,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': ['H6CA24113'], 'city': 'LOS ANGELES', 'committee_id': 'C00308742', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1995-11-16', 'first_file_date': '1995-11-16', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-03-14', 'last_file_date': '2023-10-15', 'name': 'SHERMAN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '555 SOUTH FLOWER STREET SUITE 4510', 'street_2': None, 'treasurer_name': 'Gould, David L.', 'zip': '90071'}",C00308742,,,,,,,200.0,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,156166,F3,24981750632,21,Other Disbursements,4120720041046291515,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981750632,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90071,,Q3,2004,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121520041046807461,B2109/30/2004,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': ['H6CA24113'], 'city': 'LOS ANGELES', 'committee_id': 'C00308742', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1995-11-16', 'first_file_date': '1995-11-16', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-03-14', 'last_file_date': '2023-10-15', 'name': 'SHERMAN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '555 SOUTH FLOWER STREET SUITE 4510', 'street_2': None, 'treasurer_name': 'Gould, David L.', 'zip': '90071'}",C00308742,,,,,,,163.94,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,156166,F3,24981750630,17,Operating Expenditures,4120720041046291515,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981750630,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90071,,Q3,2004,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121520041046807455,B1709/30/2004,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': 'THE 25TH COMMITTEE', 'candidate_ids': ['H8CA03014'], 'city': 'Los Angeles', 'committee_id': 'C00085688', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006], 'cycles_has_activity': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006], 'cycles_has_financial': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1978-01-23', 'first_file_date': '1978-01-23', 'is_active': True, 'last_cycle_has_activity': 2006, 'last_cycle_has_financial': 2006, 'last_f1_date': '2004-09-09', 'last_file_date': '2006-08-08', 'name': 'BOB MATSUI FOR CONGRESS COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': None, 'treasurer_name': 'Murphy, David K.', 'zip': '90048'}",C00085688,,,,,,,60.0,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,155441,F3,24981606233,21,Other Disbursements,4120320041045997254,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981606233,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90048,,12G,2004,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121420041046738432,B2110/13/2004,2004,
C,CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': 'THE 25TH COMMITTEE', 'candidate_ids': ['H8CA03014'], 'city': 'Los Angeles', 'committee_id': 'C00085688', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2004, 'cycles': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006], 'cycles_has_activity': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006], 'cycles_has_financial': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '1978-01-23', 'first_file_date': '1978-01-23', 'is_active': True, 'last_cycle_has_activity': 2006, 'last_cycle_has_financial': 2006, 'last_f1_date': '2004-09-09', 'last_file_date': '2006-08-08', 'name': 'BOB MATSUI FOR CONGRESS COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': None, 'treasurer_name': 'Murphy, David K.', 'zip': '90048'}",C00085688,,,,,,,507.44,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,155441,F3,24981606232,17,Operating Expenditures,4120320041045997254,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981606232,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90048,,12G,2004,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121420041046738431,B1710/13/2004,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'Burlingame', 'committee_id': 'C00371633', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2004, 'cycles': [2002, 2004, 2006, 2008, 2010], 'cycles_has_activity': [2002, 2004, 2006, 2008, 2010], 'cycles_has_financial': [2002, 2004, 2006, 2008, 2010], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2001-12-20', 'first_file_date': '2001-12-20', 'is_active': True, 'last_cycle_has_activity': 2010, 'last_cycle_has_financial': 2010, 'last_f1_date': '2009-03-29', 'last_file_date': '2009-07-29', 'name': 'DEMOCRATS FOR THE FUTURE', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '20 Park Road', 'street_2': 'Suite E', 'treasurer_name': 'Miller, Russell H.', 'zip': '94010'}",C00371633,,,,,,,25.65,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,154734,F3X,24991381372,21B,Other Federal Operating Expenditures,4120220041045971726,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24991381372,BURLINGAME,,,UNITEMIZED DISBURSEMENTS,CA,94010,,30G,2004,SB,ITEMIZED DISBURSEMENTS,,U,,Q,4121420041046736005,B21(B)11/22/2004,2004,
A,ADD,,,,,,,,,,,,,,,,,,,"{'affiliated_committee_name': None, 'candidate_ids': ['H4VA05022'], 'city': 'LOVINGSTON', 'committee_id': 'C00417196', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2006, 'cycles': [2006, 2008], 'cycles_has_activity': [2006, 2008], 'cycles_has_financial': [2006, 2008], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2005-11-28', 'first_file_date': '2005-11-28', 'is_active': True, 'last_cycle_has_activity': 2008, 'last_cycle_has_financial': 2008, 'last_f1_date': '2005-11-28', 'last_file_date': '2008-02-12', 'name': 'AL WEED FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'VA', 'state_full': 'Virginia', 'street_1': 'PO BOX 608', 'street_2': None, 'treasurer_name': 'LARRY HAYES', 'zip': '22949'}",C00417196,,,,,,,375.9,,,OTHER,,,,,IND,INDIVIDUAL,,,312156,F3,27990985818,17,Operating Expenditures,4120520071082744365,2017-06-01T16:18:11.595379,,,UNITEMIZED IN-KIND TRANSACTIONS,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27990985818,,,,"UNITEMIZED, UNITEMIZED",,,,Q1,2006,SB,ITEMIZED DISBURSEMENTS,,P,,H,4121320071082911822,SB17_UNITEM,2006,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'Los Angeles', 'committee_id': 'C00095059', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2004, 'cycles': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022], 'cycles_has_activity': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022], 'cycles_has_financial': [1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1978-05-05', 'first_file_date': '1978-05-05', 'is_active': True, 'last_cycle_has_activity': 2022, 'last_cycle_has_financial': 2020, 'last_f1_date': '2009-03-31', 'last_file_date': '2021-01-29', 'name': 'L A PAC', 'organization_type': None, 'organization_type_full': None, 'party': 'NNE', 'party_full': 'NONE', 'state': 'CA', 'state_full': 'California', 'street_1': '6380 Wilshire Blvd. #1612', 'street_2': '.', 'treasurer_name': 'Levin, Irwin', 'zip': '90048'}",C00095059,,,,,,,268.81,,UNITEMIZED EXPENSES,MATERIALS,,,,,ORG,ORGANIZATION,,,155472,F3X,24991459491,21B,Other Federal Operating Expenditures,4120320041045997498,2017-06-01T15:55:24.581156,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24991459491,LOS ANGELES,,,UNITEMIZED DISBURSEMENTS,CA,90048,,30G,2004,SB,ITEMIZED DISBURSEMENTS,,U,,Q,4121320041046634453,B21(B)11/22/2004,2004,
